,Category,Item_Description_PREPROCESSED
271,Logistics,Logistics Transportation Services Parcel Postage Courier Etz Lavud Ltd Supply Chain
272,Property Services,Lease Rent Real Estate Electric Inc Store Management Base Rent
273,Passenger Road Transportation,Miscellaneous Company Car Field Only Ground Transportation Texas New Mexico Power Travel and Entertainment Miscellaneous Company Car Field Only
274,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Air Products Chemicals Inc Ground Transportation Miscellaneous Company Car Field Only
275,Property Services,General Contractor General Requirements Final Site Clean Erly Industries Inc Store Construction
276,Labour,Contingent Labor Temp Labor Corporate Services All Comm Media Corp Human Resources Contingent Labor Temp Labor
277,Advertising,Artworking Typesetting Production Champion Parts Inc SMAP Prototype and Comp Production Packaging Design
278,Passenger Road Transportation,Fort Howard Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
279,Advertising,Media Buy Mobile Mail Direct Digital Paid Media Feb Basic Earth Science Systems Inc SMAP Messaging Media Buy
280,Property Services,Store Management Base Rent Real Estate Lease Rent Electro Rent Corp
281,Property Services,Final Site Clean Store Construction Banner Life Insurance General Contractor General Requirements
282,Labour,Contingent Labor Temp Labor Corporate Services Amhn Inc Human Resources Contingent Labor Temp Labor
283,Property Services,Final Site Clean Store Construction American Pad Paper General Contractor General Requirements
284,Property Services,General Contractor Store Construction General Requirements Final Site Clean American Pad Paper
285,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Daly John Travel and Entertainment
286,Passenger Road Transportation,Auto Leasing Corporate Services Butler Manufacturing Auto Leasing and Maintenance Other Corporate Services
287,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Brother Industries Ltd Adr Ground Transportation Miscellaneous Company Car Field Only
288,Logistics,Freight Forwarders Services Other Supply Chain Baxter International Inc Logistics Transportation Services
289,Advertising,SMAP Artworking Typesetting Electro Catheter Corp Production Prototype and Comp Production Packaging Design
290,Passenger Road Transportation,Fort Howard Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
291,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Fortune National Corp
292,Passenger Road Transportation,Metric Capital Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
293,Advertising,Certron Corp Newspaper Media Buy Traditional National Advertising SMAP
294,Passenger Road Transportation,Daly John Auto Passenger Road Transportation Repair and Maintenance Mar Auto Leasing and Maintenance Other Corporate Services Corporate Services
295,Property Services,Dynamics Research Corp Base Rent Lease Rent Real Estate Store Management
296,Property Services,Base Rent Store Management Boise Cascade Corp Real Estate Lease Rent
297,Charity & Trusts,Charity Organizations Jan Non Procurable Detroit Edison Charity Organizations Charity Organizations
298,Passenger Road Transportation,Fortune National Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
299,Passenger Road Transportation,Fox Pitt Kelton Inc Travel and Entertainment Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only
300,Property Services,Diversified Capital Corporation Final Site Clean General Requirements General Contractor Store Construction
301,Property Services,Mar Balanced Security Planning Inc Base Rent Lease Rent Store Management Real Estate
302,Agency Fee,Production Agency Fees Commissions Other Agency Canadian Utilities Ltd SMAP
303,Property Services,Store Management Lease Rent Central Maine Power Real Estate Base Rent
304,Passenger Road Transportation,Butler Manufacturing Jul Corporate Services Other Corporate Services Auto Leasing and Maintenance Auto Leasing
305,Passenger Road Transportation,Corning Inc Auto Passenger Road Transportation Repair and Maintenance Auto Leasing and Maintenance Other Corporate Services Corporate Services
306,Passenger Road Transportation,Metric Capital Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
307,Passenger Road Transportation,Miscellaneous Company Car Field Only Ground Transportation Akorn Inc Travel and Entertainment Miscellaneous Company Car Field Only
308,Advertising,National Advertising SMAP Media Buy Traditional Television Frawley Corp
309,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Fortune National Corp Miscellaneous Company Car Field Only Ground Transportation
310,Property Services,Store Fixtures Fixtures Impala Platinum Holdings Ltd Adr Store Construction Store Fixtures
311,Passenger Road Transportation,Auto Leasing Corporate Services Corning Inc Other Corporate Services Auto Leasing and Maintenance
312,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Oct Allis Chalmers Corp
313,Passenger Road Transportation,Butler Manufacturing Corporate Services Other Corporate Services Auto Leasing and Maintenance Auto Leasing
314,Property Services,Final Site Clean Store Construction Dollar General Corp General Requirements General Contractor
315,Passenger Road Transportation,Miscellaneous Company Car Field Only Ground Transportation Jan Fortune National Corp Travel and Entertainment Miscellaneous Company Car Field Only
316,Property Services,Smith Brown Groover Inc Store Construction Fixtures Store Fixtures Store Fixtures
317,Logistics,Logistics Supply Chain Transportation Services Freight Forwarders Services Other Alabama Power
318,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Air Products Chemicals Inc Ground Transportation Miscellaneous Company Car Field Only
319,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Consolidated Edison New York Inc
320,Property Services,Church Loans Investments Trust Final Site Clean General Requirements General Contractor Facility Construction
321,Passenger Road Transportation,Corning Inc Auto Leasing Auto Leasing and Maintenance Other Corporate Services Corporate Services
322,Property Services,Acmat Corp Base Rent Lease Rent Store Management Real Estate
323,Passenger Road Transportation,Brother Industries Ltd Adr Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
324,Property Services,Store Management Lease Rent First Investors Sgl Ppp For The Accum Inv Inc Real Estate Base Rent
325,Passenger Road Transportation,Brother Industries Ltd Adr Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
326,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Airtex Products Inc Mar Miscellaneous Company Car Field Only Ground Transportation
327,Property Services,Final Site Clean Store Construction Banner Life Insurance General Contractor General Requirements
328,Property Services,Real Estate Store Management Lease Rent Base Rent Equitable Trust
329,Property Services,American Stock Transfer Trust Final Site Clean General Requirements Store Construction General Contractor
330,Advertising,Dawson John Associates Inc Talent Artists Models for Trade Show Trade Show Expenses Events and Promotions SMAP
331,Advertising,Post Card Mailer SMAP Fidelity Distributors Corporation Direct Mail Printed Collateral
332,Passenger Road Transportation,Corporate Services Auto Leasing and Maintenance Butler Manufacturing Other Corporate Services Auto Leasing Jun
333,Advertising,Catalogue SMAP Pepper National Advertising Media Buy Traditional
334,Property Services,Store Management Lease Rent Brokerage Inc Real Estate Base Rent
335,Property Services,Store Management Base Rent Real Estate Lease Rent Fischer Porter
336,Advertising,Magazines Feb SMAP Eis International Inc National Advertising Media Buy Traditional
337,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Cooper Laboratories Inc Stockholders Liquidating Trust
338,Property Services,General Contractor General Requirements Final Site Clean Allcity Insurance Store Construction
339,Passenger Road Transportation,Aug Corning Inc Auto Leasing Auto Leasing and Maintenance Corporate Services Other Corporate Services
340,Property Services,Base Rent Store Management Flow Lab Inc Mar Lease Rent Real Estate
341,Advertising,SMAP Media Buy Traditional Collins Llc National Advertising Catalogue
342,Human Resources,Corporate Services Retirement and Pension Funds Human Resources Benefits Amana Society Inc
343,Property Services,Chesapeake Shores Beach Country Club Store Construction General Contractor General Requirements Final Site Clean
344,Property Services,Real Estate Lease Rent Base Rent Bio Rad Laboratories Inc Store Management
345,Labour,Contingent Labor Temp Labor Corporate Services Avon Overseas Capital Corp May Contingent Labor Temp Labor Human Resources
