,Category,Item_Description,Item_Description_PREPROCESSED
154,Passenger Road Transportation,Fortune National Corp Jan-2019 Travel and Entertainment Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only),fortune national corp travel and entertainment ground transportation miscellaneous company car field only miscellaneous company car field only
155,Property Services,General Contractor General Requirements Final Site Clean Up Crane Co /De/ Jul-2004 Facility Construction,general contractor general requirements final site clean crane facility construction
156,Passenger Road Transportation,Dec2005 Air Products & Chemicals Inc /De/ Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,air products chemicals inc miscellaneous company car field only miscellaneous company car field only travel and entertainment ground transportation
157,Advertising,Aquila Distributors Inc                                 /Bd Prototype and Comp Production/Packaging Design Jul-2010 Artworking/Typesetting Production SMAP,aquila distributors inc prototype and comp production packaging design artworking typesetting production smap
158,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) May-2011 Fort Howard Corp,ground transportation travel and entertainment miscellaneous company car field only miscellaneous company car field only fort howard corp
159,Advertising,"SMAP Trade Show Expenses Ferro Corp Events and Promotions Talent, Artists & Models for Trade Show 2013Jan",smap trade show expenses ferro corp events and promotions talent artists models for trade show
160,Property Services,2004-Nov  Amsted Industries Inc /De/ Base Rent Lease/Rent Store Management Real Estate,amsted industries inc base rent lease rent store management real estate
161,Passenger Road Transportation,Other Corporate Services Auto Leasing and Maintenance Auto Passenger Road Transportation Repair and Maintenance Daly John J May 2005 Corporate Services,other corporate services auto leasing and maintenance auto passenger road transportation repair and maintenance daly john may corporate services
162,Advertising,SMAP Artworking/Typesetting Aquila Distributors Inc                                 /Bd Production Prototype and Comp Production/Packaging Design Jan 2012,smap artworking typesetting aquila distributors inc production prototype and comp production packaging design jan
163,Passenger Road Transportation,Fortune Natural Resources Corp Miscellaneous Company Car (Field Only) 2014-Jan  Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,fortune natural resources corp miscellaneous company car field only miscellaneous company car field only ground transportation travel and entertainment
164,Property Services,2019Mar Consil Corp Final Site Clean Up General Requirements Store Construction General Contractor,consil corp final site clean general requirements store construction general contractor
165,Passenger Road Transportation,Burtschy Lawrence Robert /Adv Miscellaneous Company Car (Field Only) Apr 2011 Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,burtschy lawrence robert adv miscellaneous company car field only apr miscellaneous company car field only ground transportation travel and entertainment
166,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Chyron Corp Ground Transportation Miscellaneous Company Car (Field Only) Nov2000,travel and entertainment miscellaneous company car field only chyron corp ground transportation miscellaneous company car field only
167,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) Jul2000 Texas New Mexico Power Co,travel and entertainment miscellaneous company car field only ground transportation miscellaneous company car field only texas new mexico power
168,Passenger Road Transportation,Feb2010 Brother Industries Ltd/Adr/ Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,brother industries ltd adr miscellaneous company car field only miscellaneous company car field only travel and entertainment ground transportation
169,Property Services,Final Site Clean Up 2008-Sep  Store Construction American Pad & Paper Co General Contractor General Requirements,final site clean store construction american pad paper general contractor general requirements
170,Advertising,Production SMAP Artworking/Typesetting Prototype and Comp Production/Packaging Design 2002-Aug  Legg Mason Wood Walker Inc                              /Bd,production smap artworking typesetting prototype and comp production packaging design legg mason wood walker inc
171,Labour,Corporate Services Contingent Labor/Temp Labor Foodarama Supermarkets Inc Human Resources Contingent Labor/Temp Labor Dec 2019,corporate services contingent labor temp labor foodarama supermarkets inc human resources contingent labor temp labor dec
172,Property Services,Store Construction General Requirements Arabian American Development Co General Contractor Final Site Clean Up Feb-2019,store construction general requirements arabian american development general contractor final site clean
173,Passenger Road Transportation,"Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) 2001-May  Hornblower & Weeks, Inc.",travel and entertainment miscellaneous company car field only ground transportation miscellaneous company car field only hornblower weeks inc
174,Passenger Road Transportation,Auto Leasing Corporate Services Butler Manufacturing Co 2003Oct Auto Leasing and Maintenance Other Corporate Services,auto leasing corporate services butler manufacturing auto leasing and maintenance other corporate services
175,Advertising,Jul 2012 Cantel Industries Inc Catalogue Media Buy - Traditional SMAP National Advertising,jul cantel industries inc catalogue media buy traditional smap national advertising
176,Property Services,Building and Property Insurance 2002Mar Corporate Services Avery Dennison Corp Commercial Insurance Building and Property Insurance,building and property insurance corporate services avery dennison corp commercial insurance building and property insurance
177,Property Services,General Contractor General Requirements Final Site Clean Up Chubb Corp Jun 2013 Store Construction,general contractor general requirements final site clean chubb corp jun store construction
178,Advertising,"SMAP Media Buy - Traditional Cv Brokerage, Inc National Advertising Catalogue 2016Apr",smap media buy traditional brokerage inc national advertising catalogue
179,Property Services,General Contractor Facility Construction General Requirements Final Site Clean Up 2003-Feb  Crane Co /De/,general contractor facility construction general requirements final site clean crane
180,Property Services,General Contractor General Requirements Final Site Clean Up Ealing Corp Jan 2008 Store Construction,general contractor general requirements final site clean ealing corp jan store construction
