Category,Item_Description,Item_Description_PREPROCESSED
Property Services,Final Site Clean Up 2008-Sep  Store Construction American Pad & Paper Co General Contractor General Requirements,final site clean store construction american pad paper general contractor general requirements
Advertising,Production SMAP Artworking/Typesetting Prototype and Comp Production/Packaging Design 2002-Aug  Legg Mason Wood Walker Inc                              /Bd,production smap artworking typesetting prototype and comp production packaging design legg mason wood walker inc
Labour,Corporate Services Contingent Labor/Temp Labor Foodarama Supermarkets Inc Human Resources Contingent Labor/Temp Labor Dec 2019,corporate services contingent labor temp labor foodarama supermarkets inc human resources contingent labor temp labor dec
Property Services,Store Construction General Requirements Arabian American Development Co General Contractor Final Site Clean Up Feb-2019,store construction general requirements arabian american development general contractor final site clean
Passenger Road Transportation,"Travel and Entertainment Company Car (Field Only) Ground Transportation Company Car (Field Only) 2001-May  Hornblower & Weeks, Inc.",travel and entertainment company car field only ground transportation company car field only hornblower weeks inc
Passenger Road Transportation,Auto Leasing Corporate Services Butler Manufacturing Co 2003Oct Auto Leasing and Maintenance Other Corporate Services,auto leasing corporate services butler manufacturing auto leasing and maintenance other corporate services
Advertising,Jul 2012 Cantel Industries Inc Catalogue Media Buy - Traditional SMAP National Advertising,jul cantel industries inc catalogue media buy traditional smap national advertising
Property Services,Building and Property Insurance 2002Mar Corporate Services Avery Dennison Corp Commercial Insurance Building and Property Insurance,building and property insurance corporate services avery dennison corp commercial insurance building and property insurance
Property Services,General Contractor General Requirements Final Site Clean Up Chubb Corp Jun 2013 Store Construction,general contractor general requirements final site clean chubb corp jun store construction
Advertising,"SMAP Media Buy - Traditional Cv Brokerage, Inc National Advertising Catalogue 2016Apr",smap media buy traditional brokerage inc national advertising catalogue
Property Services,General Contractor Facility Construction General Requirements Final Site Clean Up 2003-Feb  Crane Co /De/,general contractor facility construction general requirements final site clean crane
Property Services,General Contractor General Requirements Final Site Clean Up Ealing Corp Jan 2008 Store Construction,general contractor general requirements final site clean ealing corp jan store construction
Passenger Road Transportation,Company Car (Field Only) Travel and Entertainment Fort Howard Corp 2003-Aug  Company Car (Field Only) Ground Transportation,company car field only travel and entertainment fort howard corp company car field only ground transportation
Labour,Corporate Services Contingent Labor/Temp Labor Flanigans Enterprises Inc Human Resources Contingent Labor/Temp Labor Jan2008,corporate services contingent labor temp labor flanigans enterprises inc human resources contingent labor temp labor
Property Services,Base Rent May2013 Facility Management Applied Materials Inc /De Real Estate Lease/Rent,base rent facility management applied materials inc real estate lease rent
Labour,Dec 2016 Ashland Inc Contingent Labor/Temp Labor Contingent Labor/Temp Labor Corporate Services Human Resources,dec ashland inc contingent labor temp labor contingent labor temp labor corporate services human resources
Labour,2006-Nov  Clarkson Industries Inc Contingent Labor/Temp Labor Contingent Labor/Temp Labor Corporate Services Human Resources,clarkson industries inc contingent labor temp labor contingent labor temp labor corporate services human resources
Labour,Contingent Labor/Temp Labor Aug-2019 Corporate Services American Crystal Sugar Co /Mn/ Human Resources Contingent Labor/Temp Labor,contingent labor temp labor corporate services american crystal sugar human resources contingent labor temp labor
Property Services,Farrel Corp Base Rent Jul 2008 Lease/Rent Real Estate Store Management,farrel corp base rent jul lease rent real estate store management
Property Services,Store Construction General Requirements Arabian American Development Co General Contractor Final Site Clean Up Aug-2004,store construction general requirements arabian american development general contractor final site clean
Property Services,C. R. Davis & Company Base Rent 2015-Oct  Lease/Rent Real Estate Facility Management,davis company base rent lease rent real estate facility management
Property Services,Store Management Base Rent Real Estate Lease/Rent Jan-2017 Ferguson Marshall M,store management base rent real estate lease rent ferguson marshall
Property Services,Base Rent Store Management Quixote Corp 2010Dec Lease/Rent Real Estate,base rent store management quixote corp lease rent real estate
Agency Fee,SMAP Agency Fees & Commissions 3 Boeing Co Production Other Agency Feb2014,smap agency fees commissions boeing production other agency
Advertising,"National Advertising SMAP Media Buy - Traditional Magazines 2019Jun Crowell, Weedon & Co.",national advertising smap media buy traditional magazines crowell weedon
Property Services,Jan 2017 Briggs & Stratton Corp Base Rent Lease/Rent Store Management Real Estate,jan briggs stratton corp base rent lease rent store management real estate
Passenger Road Transportation,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance Nov-2015 Butler Manufacturing Co,corporate services auto leasing other corporate services auto leasing and maintenance butler manufacturing
