Category,Item_Description,UNSPSC_Segment_Code
Management and Business Professionals and Administrative Services,C. R. Davis & Company Base Rent 2015-Oct  Lease/Rent Real Estate Facility Management,80000000
Management and Business Professionals and Administrative Services,Store Management Base Rent Real Estate Lease/Rent Jan-2017 Ferguson Marshall M,80000000
Management and Business Professionals and Administrative Services,Base Rent Store Management Quixote Corp 2010Dec Lease/Rent Real Estate,80000000
Editorial and Design and Graphic and Fine Art Services,SMAP Agency Fees & Commissions 3 Boeing Co Production Other Agency Feb2014,82000000
Editorial and Design and Graphic and Fine Art Services,"National Advertising SMAP Media Buy - Traditional Magazines 2019Jun Crowell, Weedon & Co.",82000000
Management and Business Professionals and Administrative Services,Jan 2017 Briggs & Stratton Corp Base Rent Lease/Rent Store Management Real Estate,80000000
Transportation and Storage and Mail Services,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance Nov-2015 Butler Manufacturing Co,78000000
Management and Business Professionals and Administrative Services,Events and Promotions Agency Fees & Commissions Public Relations Agency Auto Graphics Inc 2002-Nov  SMAP,80000000
Building and Facility Construction and Maintenance Services,General Contractor General Requirements Final Site Clean Up Dollar General Corp Sep2015 Store Construction,72000000
Building and Facility Construction and Maintenance Services,American Pad & Paper Co Final Site Clean Up 2008-Aug  General Requirements General Contractor Store Construction,72000000
Transportation and Storage and Mail Services,Corning Inc /Ny Auto Leasing Jan 2009 Auto Leasing and Maintenance Other Corporate Services Corporate Services,78000000
Building and Facility Construction and Maintenance Services,Store Construction General Requirements Colonial Trust Iii General Contractor Final Site Clean Up 2013-Sep ,72000000
Building and Facility Construction and Maintenance Services,American Pad & Paper Co Final Site Clean Up May-2016 General Requirements General Contractor Store Construction,72000000
Management and Business Professionals and Administrative Services,British American Insurance Co Ltd Base Rent 2006Apr Lease/Rent Real Estate Store Management,80000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) Aug 2014 Allis Chalmers Corp,78000000
Building and Facility Construction and Maintenance Services,Store Construction Final Site Clean Up General Contractor General Requirements 2005-Oct  American Pad & Paper Co,72000000
Building and Facility Construction and Maintenance Services,General Contractor Store Construction General Requirements Final Site Clean Up 2002-Mar  Assuranceamerica Corp,72000000
Editorial and Design and Graphic and Fine Art Services,SMAP Other Agency Production Agency Fees & Commissions 3 2008-Nov  Digital Equipment Corp,82000000
Building and Facility Construction and Maintenance Services,Dec-2006 Arabian American Development Co Final Site Clean Up General Requirements Store Construction General Contractor,72000000
Transportation and Storage and Mail Services,Federal Realty Investment Trust Auto Passenger Road Transportation Repair and Maintenance 2015-Sep  Auto Leasing and Maintenance Other Corporate Services Corporate Services,78000000
Management and Business Professionals and Administrative Services,Real Estate Store Management Lease/Rent Base Rent 2003-Sep  Commonwealth Gas Co,80000000
Management and Business Professionals and Administrative Services,Real Estate Lease/Rent Base Rent First National Of Nebraska Inc Jul-2016 Store Management,80000000
Transportation and Storage and Mail Services,Air Products & Chemicals Inc /De/ Miscellaneous Company Car (Field Only) Jan-2014 Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,78000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Travel and Entertainment Fortune Natural Resources Corp Mar2019 Miscellaneous Company Car (Field Only) Ground Transportation,78000000
Management and Business Professionals and Administrative Services,Corporate Services Contingent Labor/Temp Labor Human Resources Contingent Labor/Temp Labor 2004Jul Firstar Corp /Wi/,80000000
Transportation and Storage and Mail Services,2005Dec Butler National Corp Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,78000000
Editorial and Design and Graphic and Fine Art Services,Catalogue 2017-Jan  SMAP Dr Pepper Co National Advertising Media Buy - Traditional,82000000
Editorial and Design and Graphic and Fine Art Services,Artworking/Typesetting Production Dec-2014 Froley Revy Investment Co Inc SMAP Prototype and Comp Production/Packaging Design,82000000
Building and Facility Construction and Maintenance Services,General Contractor Store Construction General Requirements Final Site Clean Up Dec 2019 Allcity Insurance Co /Ny/,72000000
Editorial and Design and Graphic and Fine Art Services,Paid Social - Content Production with Influencer 2007Jun SMAP Consolidated Tomoka Land Co Digital Paid Media Media Buy - Social,82000000
Management and Business Professionals and Administrative Services,Farm Fish Inc Base Rent Feb2005 Lease/Rent Real Estate Store Management,80000000
Management and Business Professionals and Administrative Services,Store Management Base Rent Real Estate Lease/Rent 2019-Jul  Cantor Fitzgerald & Co.,80000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Travel and Entertainment Texas New Mexico Power Co 2004Jun Miscellaneous Company Car (Field Only) Ground Transportation,78000000
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) 2015-Nov  Daly John J,78000000
Building and Facility Construction and Maintenance Services,Mar 2008 Flightsafety International Inc Final Site Clean Up General Requirements Facility Construction General Contractor,72000000
Editorial and Design and Graphic and Fine Art Services,Printed Collateral SMAP Direct Mail Post Card/Mailer 2002-Feb  Fidelity Distributors Corporation,82000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) Sep2011 Fort Howard Corp,78000000
Transportation and Storage and Mail Services,Corporate Services Auto Passenger Road Transportation Repair and Maintenance Other Corporate Services Auto Leasing and Maintenance 2001-Jan  Daly John J,78000000
Management and Business Professionals and Administrative Services,Real Estate Lease/Rent Base Rent Daiwa Capital Markets America Inc. Feb2000 Store Management,80000000
Management and Business Professionals and Administrative Services,"Real Estate Facility Management Lease/Rent Base Rent 2002Aug Cabrera Capital Markets, Inc.",80000000
Transportation and Storage and Mail Services,Oct2009 Butler Manufacturing Co Auto Leasing Auto Leasing and Maintenance Corporate Services Other Corporate Services,78000000
Building and Facility Construction and Maintenance Services,Store Construction General Requirements American Pad & Paper Co General Contractor Final Site Clean Up 2011Sep,72000000
Transportation and Storage and Mail Services,Oct2018 Fort Howard Corp Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,78000000
Management and Business Professionals and Administrative Services,Base Rent Store Management Lexington Precision Corp 2001-Feb  Lease/Rent Real Estate,80000000
Transportation and Storage and Mail Services,Freight Forwarders Services Other Dec 2000 Supply Chain Alabama Power Co Logistics Transportation Services,78000000
Transportation and Storage and Mail Services,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Akorn Inc May-2000 Travel and Entertainment,78000000
Building and Facility Construction and Maintenance Services,Final Site Clean Up Store Construction Colonial Trust Iii 2001May General Requirements General Contractor,72000000
Management and Business Professionals and Administrative Services,Store Management Lease/Rent Commonwealth Edison Co Real Estate Base Rent Jun2013,80000000
Transportation and Storage and Mail Services,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Passenger Road Transportation Repair and Maintenance Feb2008 Daiwa Capital Markets America Inc.,78000000
Management and Business Professionals and Administrative Services,Jan-2006 Essex Group Inc Contingent Labor/Temp Labor Contingent Labor/Temp Labor Corporate Services Human Resources,80000000
Building and Facility Construction and Maintenance Services,American Pad & Paper Co Final Site Clean Up 2009-Nov  General Requirements General Contractor Store Construction,72000000
Editorial and Design and Graphic and Fine Art Services,2006Mar Champion Parts Inc Prototype and Comp Production/Packaging Design Artworking/Typesetting SMAP Production,82000000
Transportation and Storage and Mail Services,Logistics Transportation Services Freight Forwarders Services Other Alabama Power Co 2018-Jun  Supply Chain,78000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Jul 2016 Travel and Entertainment Provident Companies Inc /De/ Ground Transportation Miscellaneous Company Car (Field Only),78000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) 2018Jul Travel and Entertainment Texas New Mexico Power Co Ground Transportation Miscellaneous Company Car (Field Only),78000000
